_id,writer,content,suefull,date,rating
67a325f50a6b3aea36671903,DYang,업데이트이후 실행이안돼요. 고쳐주시면 별5개드릴게요. 기종 갤럭시s20입니다.,5,2021년 11월 24일,5
67a325f50a6b3aea36671904,이상수,굉장히 불편하고 튕기기도 잘튕기네요. 기존 스터디카페가 이 어플로 바꼈는데 어플때문에 스터디카페 옮길생각입미다.,1,2021년 11월 18일,1
67a325f50a6b3aea36671905,HK J,주변스터디카페내부정보가있어좋아요^^,0,2021년 4월 21일,5
67a325f50a6b3aea36671906,AHN,계속 에러뜨면서 관리자에게 문의하라고만되있네요. 지난 리뷰보니깐 해결되었다는 답변이 많던데. 바로 몇일전에도. 해결부탁드립니다.,0,2022년 8월 12일,1
67a325f50a6b3aea36671907,Forc3r,회원가입 키오스크 비밀번호 설정에서 스킵도 안되고 어떤 숫자를 입력해도 안되네요,1,2024년 4월 10일,1
67a325f60a6b3aea36671908,윤달,모바일에서 안되는 상품이라며 몇주째 자리예약이 안돼요 좀 고쳐주세요,0,2022년 5월 10일,1
67a325f60a6b3aea36671909,Andrew Kang,아래 대댓글 다신거 보니까 고치셨다는데 로그인하면 계속 튕기는데요.. ㅋ,1,2022년 2월 11일,1
67a325f60a6b3aea3667190a,올리브캣,어플 실행이 안됩니다 갤럭시 s8입니다,1,2021년 12월 21일,1
67a325f60a6b3aea3667190b,최재훈,팅기던 문제가 해결되었습니다. 감사합니다.,4,2022년 3월 31일,5
67a325f60a6b3aea3667190c,Gobojaki Tubo,업데이트 2일째 진행중 ㄹㅇ 너무하네,0,2023년 1월 3일,1
67a325f60a6b3aea3667190d,이름뭘로할까,회원가입을 하려고 인증번호 받기를 눌렀는데 번호가 오지 않습니다,0,2022년 4월 23일,1
67a325f60a6b3aea3667190e,송상청,이전에 예약한 정보가 사라졌어요,0,2024년 6월 25일,1
67a325f60a6b3aea3667190f,hyunil kim,초심.플랜에이.공본 등 유명 스터디카페가 조회되고 예약결제까지 대단하다 .,2,2021년 5월 19일,5
67a325f60a6b3aea36671910,Lee Alex,우와 대박 좋아요. 써보니.편하고 좋네요,1,2022년 4월 4일,5
67a325f60a6b3aea36671911,이현곤,s21울트라 기종인데 로그인하면 어플이 팅깁니다..,0,2021년 12월 21일,5
67a325f60a6b3aea36671912,송영선,역대급 쓰레기앱 애러 난다고 접속도 안 됨,0,2022년 9월 5일,1
67a325f60a6b3aea36671913,J Lee,연동이 안됨 어플 필요가 없음 남은 시간 좀 보고 싶은데 알림톡도 똑같고 진짜 불편하네요,0,2023년 10월 9일,1
67a325f60a6b3aea36671914,박소현,로그인 후 계속 강제종료됩니다 빨리 수정해주세요,3,2022년 2월 7일,1
67a325f60a6b3aea36671915,김진순,도움되는 다양한 정보 감사합니다.,0,2022년 4월 21일,5
67a325f60a6b3aea36671916,누눙누눙,로그인 이후 재접속 안되는 오류 있다고 두 번째 리뷰 씁니다 제 리뷰 포함해서 몇몇 리뷰에 댓글로 해결됐다고 하셨던데 이건 서비스 이용자들 농락이라도 하시고 싶으셔서 그러신 건가요? 어이가 없네요 ㅋㅋㅋㅋㅋ,8,2022년 2월 24일,1
